x_position,y_position,frame
459.5,275.5,6
433.5,33.5,21
430.5,36.5,22
430.5,44.5,23
428.5,57.5,24
428.5,59.5,25
428.5,59.5,27
428.5,59.5,27
428.5,59.5,27
428.5,59.5,27
428.5,59.5,27
419.5,140.5,28
457.5,132.5,31
437.5,150.5,32
437.5,150.5,33
464.5,148.5,33
437.5,150.5,34
437.5,150.5,34
464.5,148.5,34
464.5,148.5,34
470.5,173.5,36
365.5,343.5,36
471.5,195.5,37
420.5,137.5,37
474.5,218.5,38
400.5,368.5,38
443.5,156.5,38
456.5,314.5,38
443.5,156.5,39
474.5,218.5,39
400.5,368.5,39
446.5,156.5,39
446.5,156.5,39
457.5,299.5,39
443.5,156.5,40
447.5,149.5,40
477.5,243.5,40
486.5,307.5,42
404.5,269.5,42
473.5,320.5,43
473.5,320.5,43
457.5,144.5,43
430.5,296.5,43
486.5,307.5,44
486.5,307.5,44
457.5,144.5,44
486.5,307.5,45
430.5,296.5,45
457.5,151.5,45
486.5,307.5,46
486.5,307.5,46
459.5,158.5,46
465.5,188.5,47
459.5,158.5,48
459.5,158.5,48
459.5,158.5,48
413.5,141.5,49
467.5,207.5,49
408.5,143.5,50
470.5,229.5,50
402.5,151.5,51
449.5,266.5,51
475.5,285.5,52
475.5,285.5,52
402.5,151.5,53
402.5,151.5,53
481.5,317.5,54
481.5,317.5,56
481.5,317.5,56
438.5,160.5,56
481.5,317.5,56
442.5,160.5,56
445.5,174.5,59
414.5,259.5,59
452.5,241.5,64
454.5,268.5,65
452.5,297.5,66
452.5,297.5,66
452.5,297.5,68
452.5,297.5,68
387.5,314.5,71
387.5,314.5,72
387.5,314.5,72
387.5,314.5,73
387.5,314.5,73
387.5,314.5,75
387.5,314.5,75
387.5,314.5,75
387.5,314.5,76
387.5,314.5,76
448.5,264.5,76
387.5,314.5,77
387.5,314.5,77
387.5,314.5,77
388.5,179.5,77
448.5,264.5,77
448.5,264.5,77
419.5,239.5,78
451.5,291.5,78
451.5,291.5,78
419.5,239.5,80
419.5,239.5,80
376.5,224.5,80
451.5,291.5,81
376.5,224.5,81
349.5,276.5,82
387.5,298.5,84
383.5,349.5,85
386.5,365.5,86
383.5,349.5,86
448.5,245.5,87
384.5,187.5,88
386.5,362.5,89
386.5,362.5,89
375.5,209.5,89
459.5,316.5,89
386.5,362.5,90
386.5,362.5,90
386.5,362.5,90
375.5,209.5,90
375.5,209.5,90
420.5,151.5,91
420.5,151.5,92
420.5,151.5,92
420.5,151.5,93
420.5,151.5,93
420.5,151.5,94
386.5,309.5,97
358.5,149.5,98
358.5,149.5,98
358.5,149.5,99
358.5,149.5,99
386.5,309.5,99
358.5,182.5,99
358.5,149.5,100
358.5,149.5,100
358.5,182.5,100
358.5,149.5,101
358.5,149.5,101
454.5,207.5,101
358.5,149.5,102
358.5,149.5,102
358.5,149.5,102
359.5,227.5,102
359.5,227.5,102
358.5,149.5,103
379.5,52.5,103
359.5,227.5,104
359.5,227.5,104
359.5,227.5,104
377.5,60.5,104
359.5,227.5,105
359.5,227.5,105
359.5,227.5,105
377.5,60.5,105
372.5,72.5,106
457.5,128.5,107
445.5,239.5,108
457.5,128.5,109
457.5,128.5,109
457.5,128.5,109
457.5,128.5,109
457.5,128.5,109
457.5,128.5,109
459.5,122.5,109
358.5,125.5,110
358.5,125.5,110
449.5,260.5,110
459.5,308.5,111
348.5,178.5,111
422.5,167.5,112
459.5,308.5,113
422.5,167.5,113
425.5,154.5,113
348.5,178.5,114
348.5,178.5,114
425.5,154.5,114
425.5,154.5,114
348.5,178.5,115
348.5,178.5,115
348.5,178.5,115
336.5,289.5,115
464.5,150.5,115
348.5,178.5,116
348.5,178.5,116
348.5,178.5,116
466.5,210.5,118
466.5,210.5,118
466.5,210.5,119
466.5,210.5,119
466.5,210.5,120
466.5,210.5,122
466.5,210.5,122
472.5,302.5,122
472.5,302.5,122
434.5,123.5,124
434.5,123.5,124
468.5,317.5,124
468.5,317.5,124
468.5,317.5,125
468.5,317.5,125
468.5,317.5,126
437.5,147.5,127
437.5,147.5,127
354.5,225.5,127
437.5,147.5,128
437.5,147.5,128
437.5,147.5,129
437.5,147.5,129
405.5,314.5,129
405.5,314.5,129
405.5,314.5,129
420.5,31.5,129
422.5,34.5,130
437.5,147.5,131
437.5,147.5,131
437.5,147.5,131
437.5,147.5,131
426.5,52.5,131
437.5,147.5,132
437.5,147.5,132
377.5,204.5,132
356.5,146.5,132
377.5,204.5,132
445.5,296.5,132
377.5,204.5,133
377.5,204.5,133
377.5,204.5,133
377.5,204.5,133
445.5,296.5,133
373.5,218.5,134
373.5,218.5,135
373.5,218.5,136
373.5,218.5,137
373.5,218.5,137
373.5,218.5,137
373.5,218.5,138
373.5,218.5,138
373.5,218.5,138
373.5,218.5,138
373.5,218.5,138
357.5,143.5,138
357.5,143.5,138
387.5,210.5,139
387.5,210.5,139
387.5,210.5,140
387.5,210.5,140
387.5,210.5,140
384.5,192.5,140
387.5,210.5,142
387.5,210.5,142
387.5,210.5,142
387.5,210.5,142
387.5,210.5,142
384.5,177.5,142
373.5,218.5,143
373.5,218.5,143
373.5,218.5,143
387.5,210.5,143
387.5,210.5,143
357.5,191.5,143
358.5,211.5,144
358.5,211.5,144
357.5,234.5,145
357.5,234.5,145
357.5,234.5,146
357.5,234.5,147
357.5,234.5,147
357.5,234.5,148
357.5,234.5,148
357.5,234.5,148
357.5,234.5,148
357.5,234.5,149
357.5,234.5,149
367.5,167.5,150
367.5,167.5,150
363.5,179.5,151
446.5,280.5,152
360.5,210.5,153
446.5,280.5,154
360.5,210.5,154
356.5,233.5,154
449.5,195.5,154
446.5,280.5,155
356.5,233.5,155
360.5,210.5,155
356.5,233.5,155
356.5,258.5,155
356.5,233.5,156
356.5,233.5,156
356.5,233.5,156
356.5,233.5,156
449.5,195.5,156
356.5,233.5,157
356.5,233.5,157
450.5,175.5,157
455.5,124.5,162
364.5,136.5,163
359.5,162.5,164
359.5,162.5,164
353.5,191.5,165
353.5,191.5,165
353.5,191.5,166
353.5,191.5,166
353.5,191.5,166
353.5,191.5,167
353.5,191.5,167
353.5,191.5,167
353.5,191.5,167
353.5,191.5,167
353.5,191.5,168
353.5,191.5,168
353.5,191.5,168
353.5,191.5,168
434.5,151.5,168
353.5,191.5,169
353.5,191.5,169
353.5,191.5,169
353.5,191.5,169
353.5,191.5,169
353.5,191.5,169
353.5,191.5,169
353.5,191.5,169
460.5,167.5,169
460.5,167.5,169
353.5,191.5,170
353.5,191.5,170
353.5,191.5,170
460.5,167.5,170
460.5,167.5,170
460.5,167.5,170
353.5,191.5,171
353.5,191.5,171
460.5,167.5,171
460.5,167.5,172
460.5,167.5,172
460.5,167.5,173
417.5,236.5,174
453.5,127.5,175
417.5,236.5,176
417.5,236.5,176
417.5,236.5,176
417.5,236.5,176
417.5,236.5,176
417.5,236.5,176
417.5,236.5,176
417.5,236.5,176
455.5,130.5,176
468.5,315.5,176
458.5,140.5,177
458.5,140.5,177
460.5,320.5,177
464.5,170.5,180
464.5,170.5,180
362.5,195.5,182
477.5,272.5,184
477.5,272.5,184
477.5,272.5,185
477.5,272.5,185
477.5,272.5,185
477.5,272.5,186
477.5,272.5,186
477.5,272.5,186
477.5,272.5,186
477.5,272.5,186
477.5,272.5,187
477.5,272.5,187
477.5,272.5,187
477.5,272.5,187
389.5,195.5,187
385.5,219.5,188
385.5,219.5,188
385.5,219.5,188
477.5,272.5,189
388.5,220.5,189
388.5,220.5,189
477.5,272.5,190
477.5,272.5,190
477.5,272.5,190
477.5,272.5,191
477.5,272.5,191
388.5,220.5,191
388.5,220.5,191
388.5,220.5,191
359.5,144.5,191
388.5,220.5,192
388.5,220.5,192
388.5,220.5,192
388.5,220.5,192
359.5,151.5,192
359.5,151.5,192
388.5,220.5,193
391.5,193.5,193
388.5,220.5,194
390.5,195.5,194
390.5,195.5,194
388.5,220.5,195
356.5,207.5,196
356.5,207.5,196
355.5,230.5,197
355.5,230.5,197
355.5,230.5,199
355.5,230.5,199
355.5,230.5,199
355.5,230.5,199
369.5,143.5,200
369.5,143.5,200
355.5,230.5,201
355.5,230.5,201
355.5,230.5,201
355.5,230.5,201
361.5,143.5,201
361.5,143.5,201
412.5,240.5,202
412.5,240.5,202
412.5,240.5,203
412.5,240.5,203
412.5,240.5,204
412.5,240.5,204
412.5,240.5,205
348.5,171.5,205
348.5,171.5,207
412.5,240.5,209
412.5,240.5,209
452.5,182.5,209
329.5,252.5,211
329.5,252.5,211
329.5,252.5,211
457.5,151.5,211
329.5,252.5,212
329.5,252.5,212
329.5,252.5,212
329.5,252.5,212
329.5,252.5,212
329.5,252.5,212
329.5,252.5,212
329.5,252.5,212
441.5,235.5,212
329.5,252.5,213
329.5,252.5,213
329.5,252.5,213
329.5,252.5,213
329.5,252.5,213
329.5,252.5,213
329.5,252.5,213
329.5,252.5,213
441.5,235.5,213
441.5,235.5,213
445.5,247.5,216
445.5,247.5,216
445.5,247.5,216
445.5,247.5,216
365.5,137.5,216
365.5,137.5,216
445.5,247.5,217
445.5,247.5,217
365.5,137.5,217
462.5,138.5,219
462.5,138.5,219
427.5,143.5,220
427.5,143.5,222
427.5,143.5,222
427.5,143.5,222
427.5,143.5,222
427.5,143.5,222
427.5,143.5,222
427.5,143.5,222
427.5,143.5,222
427.5,143.5,222
427.5,143.5,222
465.5,179.5,223
465.5,179.5,223
465.5,179.5,224
465.5,179.5,224
465.5,179.5,224
465.5,179.5,224
465.5,179.5,224
465.5,179.5,224
465.5,179.5,225
465.5,179.5,225
407.5,125.5,225
422.5,270.5,226
422.5,270.5,226
422.5,270.5,226
422.5,270.5,228
422.5,270.5,228
422.5,270.5,228
422.5,270.5,228
422.5,270.5,228
470.5,313.5,230
470.5,313.5,230
470.5,313.5,230
470.5,313.5,230
470.5,313.5,231
470.5,313.5,231
470.5,313.5,231
470.5,313.5,231
470.5,313.5,231
437.5,128.5,232
460.5,316.5,232
439.5,142.5,233
460.5,316.5,234
360.5,196.5,235
360.5,196.5,235
460.5,316.5,236
460.5,316.5,236
460.5,316.5,236
460.5,316.5,236
460.5,316.5,236
460.5,316.5,236
460.5,316.5,236
360.5,196.5,236
381.5,365.5,236
444.5,201.5,237
444.5,201.5,237
444.5,201.5,239
444.5,201.5,239
444.5,201.5,239
444.5,201.5,240
444.5,201.5,240
444.5,201.5,240
444.5,201.5,240
444.5,201.5,240
450.5,297.5,241
450.5,297.5,243
450.5,297.5,243
450.5,297.5,243
450.5,297.5,243
450.5,297.5,243
450.5,297.5,243
450.5,297.5,243
450.5,297.5,243
450.5,297.5,244
461.5,167.5,245
