frame,ball1Error,ball2Error,ball3Error,ball4Error
0,0.0,0.0,0.0,0.0
1,201.43636,143.04828,384.14545,162.73856
2,172.48872,166.29492,370.86963,158.11533
3,160.40189,177.72289,374.57962,157.23308
4,140.57582,193.66031,372.96692,160.3901
5,132.56412,206.55049,372.01718,160.60733
6,142.53755,194.96912,372.92984,158.83101
7,123.26062,222.12207,373.34885,163.52272
8,109.03762,240.70753,374.58862,165.40437
9,99.583954,256.99908,375.06677,168.59407
10,89.722,274.445,378.02243,171.75945
11,99.00519,259.478,376.42154,169.25029
12,82.15072,292.3957,382.6096,177.44052
13,73.70854,312.65726,391.4575,181.65932
14,64.26236,330.53473,403.55743,188.17511
15,44.662594,389.29935,419.476,208.04303
16,57.22376,356.13516,408.63937,197.26399
17,47.065533,392.08337,413.77502,207.63658
18,40.417286,396.3849,412.6918,219.52138
19,34.91453,399.78897,404.67047,228.57784
20,33.045128,405.42514,394.98654,236.87833
21,36.7167,399.68774,401.2684,229.02252
22,28.638044,412.6098,379.63593,246.30598
23,25.56088,420.89975,360.2354,258.7623
24,25.080355,428.61035,342.28293,270.08032
25,22.953815,436.47485,327.2501,280.95578
26,24.841442,429.62665,341.87787,271.02985
27,22.764912,439.88498,314.77075,292.32245
28,22.902613,445.48688,300.0661,309.48114
29,23.284603,448.69305,287.04434,322.43213
30,23.125422,448.53348,275.97025,337.24353
31,23.219864,446.45728,286.9463,324.5982
32,24.909412,448.35068,262.43274,351.22885
33,27.86232,445.8719,250.84512,367.0271
34,31.321772,438.80417,240.13365,384.92728
35,34.158638,432.04163,231.48596,395.75174
36,32.099777,436.588,241.25035,383.19766
37,37.525574,417.8034,220.50006,389.94476
38,63.837345,337.7142,181.48012,401.84177
39,51.39112,375.38962,202.91772,394.94995
40,49.472237,381.77844,206.17325,393.65195
41,49.60014,381.0683,205.68013,393.926
42,61.578766,341.0795,190.88884,396.9487
43,71.18383,316.78754,185.04106,395.88498
44,79.19515,301.0796,178.4493,396.3389
45,85.85656,281.29678,174.77199,393.82892
46,79.22058,298.31366,179.62614,394.87347
47,94.644356,265.4415,169.62128,390.62204
48,106.514175,246.0015,167.82098,389.38403
49,116.202225,230.1258,162.75941,386.1683
50,127.367836,215.8869,160.21002,384.65726
51,117.667175,230.12314,163.78545,386.3479
52,139.01883,200.33574,159.70746,379.3301
53,153.47546,182.98296,159.82715,375.17426
54,163.54303,172.7339,158.70227,374.48502
55,178.73895,158.53114,156.78601,371.89713
56,166.17998,171.31172,158.78217,374.83823
57,193.48651,144.03708,159.4662,374.49286
58,207.73758,130.90942,160.7745,371.25378
59,223.19675,122.34973,165.28267,372.3383
60,240.32744,108.62896,166.38824,375.8554
61,226.19368,119.71854,164.73926,374.5788
62,254.14316,101.96271,168.24521,375.43335
63,276.00928,88.62909,173.13072,379.39752
64,294.16104,81.01264,176.78673,381.48282
65,312.3614,73.86813,182.59648,392.18134
66,295.9309,81.15526,178.5212,386.7065
67,327.96555,65.91836,187.50359,402.16714
68,353.01556,58.355377,196.4505,409.1159
69,371.01245,50.57878,201.91594,412.94635
70,394.29758,45.059,209.3914,412.63037
71,375.32288,51.145016,203.20813,409.904
72,392.8493,42.446938,217.50417,412.7943
73,396.51666,35.350895,228.6224,405.87473
74,404.64835,32.446365,236.52266,395.58408
75,414.59106,29.061827,246.77002,379.235
76,406.97958,32.32644,238.37898,388.98584
77,420.7301,25.785389,256.9699,361.51694
78,428.6497,24.677156,269.91733,342.77814
79,437.31458,23.061108,281.86182,326.8054
80,442.39856,23.230474,293.36377,313.41678
81,435.7534,24.368315,282.64832,326.91925
82,445.83765,22.70899,306.33093,302.0038
83,449.72632,23.07757,322.5496,286.1077
84,449.5661,23.54545,336.18045,275.22925
85,449.17798,25.11765,352.0848,261.3411
86,448.42883,24.483189,338.92816,273.41333
87,444.92337,28.23392,364.65054,253.6969
88,438.78836,29.943254,384.13467,239.48448
89,431.3176,35.97263,396.57773,231.8705
90,394.035,48.906258,397.9222,203.4352
91,412.25403,41.436455,390.20157,220.0518
92,385.9454,47.715836,394.98462,207.14676
93,361.31277,55.45422,394.73294,196.61948
94,337.05368,63.096455,396.45496,190.71925
95,320.3794,71.287506,394.84735,185.04672
96,335.7429,64.67394,394.8435,190.97533
97,305.15656,78.02549,395.0057,179.76549
98,280.34827,85.857216,393.13785,174.09222
99,266.17175,95.588486,389.76685,169.32344
100,244.57404,107.09221,387.47543,167.4051
101,262.64075,98.22773,389.4601,170.7501
102,232.70009,114.51951,385.4833,162.79683
103,213.89742,128.46484,382.6379,160.66508
104,198.38431,140.44638,379.6899,158.71696
105,182.49765,151.96313,376.18915,159.96211
106,197.06747,141.65147,378.89447,160.47818
107,173.13817,165.72868,373.88974,158.59673
108,160.704,177.79204,372.9105,157.3123
109,140.67061,193.67844,372.6255,158.77055
110,132.61952,207.06451,373.35126,162.09949
111,143.5832,194.69234,373.30392,160.39018
112,122.51639,221.84914,374.23615,163.13367
113,109.33701,241.18068,373.64746,165.52864
114,99.439316,256.579,375.45358,168.12866
115,88.92074,274.5397,379.12256,172.06407
116,99.562904,259.2633,376.83377,169.24144
117,81.9857,292.4927,382.5007,176.81862
118,73.74265,312.67343,391.3584,181.93213
119,64.27097,330.53314,403.28882,188.47836
120,44.66231,389.29874,419.04242,207.57545
121,57.223454,356.13504,408.19742,196.9911
122,46.992462,392.08347,413.41147,208.04674
123,40.351128,396.3848,414.33984,219.26578
124,35.12176,399.78897,403.05838,228.80696
125,32.880726,405.27646,394.81183,236.5301
126,36.595623,399.21408,400.25543,228.93732
127,28.828041,413.37802,380.56802,245.99698
128,25.38194,421.51474,360.55118,259.47214
129,24.43337,427.4375,342.0929,269.88965
130,22.64427,435.91238,327.22177,280.91458
131,24.534397,429.18323,341.88144,271.03207
132,24.176628,439.74338,314.77188,293.04007
133,22.250145,444.93872,300.06613,309.08185
134,22.55718,448.80942,287.19745,322.4435
135,23.218481,448.97052,275.87662,337.329
136,23.07975,446.63156,286.94995,324.5554
137,25.25744,448.49408,262.13443,351.20453
138,28.189425,446.0427,250.71951,366.93723
139,31.03783,439.42972,240.41359,384.44473
140,34.629738,430.604,232.0932,396.81845
141,31.857533,436.17157,240.97891,384.04724
142,37.38881,418.34467,220.80222,389.53525
143,63.632545,337.71902,181.33032,401.63202
144,51.417797,375.3725,202.99542,394.84515
145,49.403854,381.7767,206.16873,393.92184
146,49.61044,381.0687,205.7645,394.0553
147,62.251457,341.0795,190.87782,395.05258
148,70.73723,316.78754,185.09764,395.79718
149,78.981895,301.07968,178.67496,395.3614
150,85.788826,281.2967,174.09857,394.05215
151,79.149055,298.31375,179.1773,394.46378
152,94.98387,265.60895,169.83965,389.9478
153,106.332756,245.93228,168.35645,389.18225
154,116.504524,230.00404,162.37119,386.56308
155,127.119545,215.9333,160.40274,384.34894
156,117.85904,230.13156,163.8196,386.08246
157,139.23306,200.9777,160.44112,379.08414
158,152.95045,182.71725,158.9137,374.25507
159,165.0886,172.14096,158.96321,374.261
160,177.92924,159.40656,157.07414,372.30444
161,166.83995,171.53989,158.61145,374.21884
162,192.49983,143.15677,161.09871,374.84024
163,207.37836,132.41513,160.24077,371.24777
164,223.43289,121.8228,164.80219,372.79318
165,240.73192,109.289825,166.54733,375.7179
166,225.78967,120.40613,164.52023,374.71466
167,254.87837,101.456894,169.51596,374.95587
168,275.76147,88.563965,172.26279,379.39117
169,294.11353,81.107,176.80296,382.12762
170,312.36496,73.84198,182.88602,392.0974
171,295.93286,81.1497,178.60806,386.7506
172,327.9655,65.91868,187.71951,402.2213
173,353.01556,58.077232,196.42567,409.7506
174,371.01245,50.877094,203.2854,412.61832
175,394.29758,45.868313,207.894,413.87314
176,375.16806,50.974194,202.28883,410.11966
177,392.62912,42.338608,218.08514,412.2554
178,398.10684,35.279236,228.3589,405.8648
179,404.34567,32.409023,237.12117,395.6235
180,414.4804,28.52394,246.9567,378.7298
181,406.92438,32.242577,238.51938,388.65732
182,420.76566,25.806164,256.6913,361.8663
183,428.72195,25.429985,269.3666,342.82437
184,436.86835,22.9866,282.01974,326.77338
185,441.8605,23.354603,293.5829,312.50806
186,435.88504,24.248188,283.01016,326.45807
187,445.88095,22.490664,306.32834,301.9217
188,449.28125,23.215776,322.58722,286.14087
189,449.76135,23.406572,336.01566,275.8457
190,449.62085,25.532454,352.14352,261.43692
191,448.29272,24.592672,338.8175,273.03845
192,445.4408,28.341457,364.82782,253.16367
193,438.77005,29.995445,384.47894,239.62227
194,431.17593,35.729214,396.01468,232.20784
195,394.65552,48.806324,398.19406,203.4029
196,412.66385,41.305183,390.39224,220.17726
197,385.66486,47.473003,396.117,207.12682
198,361.19336,56.00712,394.66922,196.6769
199,337.08203,62.816574,396.238,190.67923
200,320.3859,71.66815,395.16968,184.9055
201,335.74265,64.603775,394.7288,190.90791
202,305.15625,77.68652,395.36075,180.22589
203,280.34827,86.17026,392.63843,174.2342
204,266.17175,95.98328,390.02966,169.31287
205,244.57404,106.02397,387.2,167.30536
206,262.64075,97.47658,389.2656,171.49158
207,232.70009,115.45808,385.3617,162.61809
208,213.51013,128.23431,381.22763,160.12639
209,197.99066,140.37224,380.34506,158.51074
210,182.9546,153.11606,375.78842,159.69676
211,197.22575,142.14206,378.57767,160.85904
212,174.24547,164.8494,374.39578,158.87973
213,159.33134,178.15048,373.6692,155.7856
214,140.04556,194.06956,372.89252,160.672
215,132.45229,207.63004,372.29498,161.05756
216,143.39406,195.01201,373.03003,160.26897
