frame,ball1Error,ball2Error,ball3Error,ball4Error
0,0.0,0.0,0.0,0.0
1,1360.672,1368.8387,1369.742,1358.9595
2,8.924351,9.340395,8.985334,10.65225
3,511.49918,515.8132,510.87735,516.3891
4,403.7307,407.01895,404.16428,406.58942
5,412.7433,415.04205,410.92804,416.68182
6,391.09497,398.2809,394.7987,394.01108
7,430.5822,435.78363,433.25818,431.51587
8,455.75812,448.56393,443.9524,444.7863
9,482.0607,495.6223,483.993,492.2162
10,553.49286,543.9431,546.1144,547.0904
11,551.72705,550.951,557.53436,550.42395
12,587.51196,586.08875,589.9965,585.84393
13,529.6495,535.86694,533.0457,529.0138
14,496.74576,500.68042,497.94574,494.91794
15,477.11087,476.6772,475.53656,474.67856
16,395.282,402.21753,408.41937,401.62787
17,478.78333,485.0448,472.18802,479.29483
18,520.0874,509.96738,514.69745,511.01892
19,538.28345,529.0511,537.769,533.42426
20,544.27985,541.9122,553.96,554.7122
21,551.11127,547.45844,547.80316,540.6049
22,538.233,541.1606,531.0355,534.22687
23,488.5645,494.16293,503.65997,499.9532
24,305.0243,308.98083,298.85312,306.04724
25,302.37094,302.58383,299.23074,299.83417
26,286.91647,286.37018,281.60178,289.03387
27,269.70395,261.712,265.34366,272.81653
28,270.0125,268.9931,268.1316,269.71548
29,262.3761,232.177,240.65851,232.26953
30,239.74063,248.51233,252.9162,245.55478
31,256.49405,266.32306,285.0958,289.18686
32,306.2941,301.2614,294.3512,297.83636
33,310.0516,320.02628,315.90936,307.2821
34,342.675,344.30502,336.2839,338.97507
35,367.5978,370.47546,364.14444,369.6265
36,503.40298,513.54694,509.23325,521.525
37,553.09186,556.271,563.09674,560.4385
38,549.5794,560.5507,553.1995,536.446
39,548.4776,547.0411,548.47925,528.6326
40,491.78067,487.31818,464.49615,501.53656
41,307.77112,318.91132,313.54874,319.60663
42,322.6995,299.75085,322.72345,301.76978
43,301.0732,301.13043,304.48853,302.22437
44,278.8476,287.95395,286.57574,282.11188
45,268.9986,272.9487,271.31122,270.42432
46,227.09769,223.21982,229.89078,233.92484
47,338.31635,334.19772,336.19843,336.1661
48,363.37085,360.0971,357.71982,363.35254
49,389.7614,391.64673,384.38116,386.34076
50,498.80573,496.27264,495.13986,493.50436
51,579.57825,580.52045,577.5886,576.6332
52,577.7861,580.5458,574.48035,574.2824
53,562.5793,561.7036,558.9396,574.6906
54,314.17697,298.46017,307.75885,303.863
55,297.69272,316.41055,309.34927,305.3875
56,287.2918,286.434,280.4197,291.29156
57,270.21317,263.39008,269.51428,272.45975
58,262.81253,268.33478,261.17813,260.07227
59,260.05493,259.12314,255.67422,254.40259
60,232.6297,231.71204,228.02551,227.12463
61,248.74525,248.52109,245.68063,246.58481
62,329.20068,330.3428,325.78418,326.72827
63,346.77277,346.34546,342.7867,343.40128
64,475.04837,470.682,464.45364,456.33917
65,559.39764,560.5688,558.58093,561.69446
66,178.32646,177.07462,175.43901,174.03886
67,189.14699,184.87231,185.98068,183.59276
68,168.46114,179.83397,168.70764,180.46225
69,161.02092,154.2818,171.8832,163.99156
70,114.472534,114.30432,102.72946,112.10382
71,218.51799,216.07529,221.43196,213.90266
72,263.10626,258.00598,262.51382,260.99072
73,353.19666,352.72232,357.61157,361.81696
74,510.78253,518.6935,525.73474,523.66455
75,567.63745,571.4002,554.75586,564.14307
76,186.27216,184.7303,183.35716,181.15718
77,208.15198,203.14095,204.13521,209.88489
78,181.46773,183.43175,193.63635,189.3653
79,166.91121,167.5372,169.82294,169.81615
80,188.79785,190.74509,181.57104,186.95934
81,228.44615,227.86621,227.2056,231.5399
