frame,ball1Position,ball2Position,ball3Position
0,0.0,0.0,0.0
1,422.71857,355.7238,83.02365
2,425.85217,314.38113,107.78466
3,428.07394,264.33878,131.7114
4,428.65344,233.81258,156.88393
5,429.616,213.40305,185.1381
6,430.42175,193.81042,218.68756
7,430.15628,177.30573,257.32053
8,431.31534,168.36082,302.6229
9,428.9605,166.35054,336.61728
10,424.5934,162.38837,336.7007
11,409.21664,165.18803,353.26318
12,369.43588,173.51569,366.00302
13,329.55933,189.18521,377.0722
14,285.34247,202.68219,384.12418
15,229.17294,223.62915,387.47693
16,197.82265,248.2983,388.42676
17,165.34798,277.94345,386.02133
18,133.4,307.72256,381.636
19,108.22787,338.25665,376.54495
20,87.98387,350.61407,375.69254
21,73.57451,359.1767,376.536
22,63.79792,379.00952,380.63287
23,61.244896,396.08328,387.25458
24,59.489304,415.49072,396.11905
25,60.180473,427.4326,404.30167
26,66.15747,430.1891,413.54648
27,73.556435,424.15308,422.43564
28,87.82578,401.43634,430.52136
29,105.408485,369.21155,438.2939
30,126.17172,326.2001,446.44165
31,149.0324,287.9629,454.07785
32,179.55501,247.62047,462.7042
33,211.35982,224.22551,466.68637
34,247.64459,199.4873,469.0094
35,292.60086,185.9202,470.783
36,335.88425,172.25824,473.03842
37,372.68765,162.66396,469.08008
38,380.48016,157.09224,460.09134
39,394.29324,155.87163,440.91187
40,409.85626,156.84499,399.0665
41,422.96426,161.44363,356.70203
42,429.3391,170.833,309.9399
43,432.5318,183.63159,252.30745
44,434.00342,199.28122,218.5237
45,434.1746,221.3907,187.42429
46,432.106,242.64276,156.07678
47,431.71964,273.06952,127.598816
48,432.74234,306.6638,105.993515
49,435.24628,338.02832,91.74927
50,435.81616,351.3866,81.20939
51,439.55566,371.25763,72.87058
52,443.92563,391.21796,72.28059
53,449.72928,408.95862,74.07545
54,455.87204,413.98392,79.94666
55,462.00854,403.17166,89.490715
56,467.45633,381.51868,102.85685
57,473.41516,345.1793,120.077095
58,475.69196,295.50897,138.29431
59,475.2328,247.59293,160.4739
60,475.1576,225.66579,188.9501
61,475.2035,197.14044,216.65254
62,475.75528,175.62129,252.39273
63,473.40833,160.93513,288.36252
64,472.66425,146.92181,338.75296
65,465.33984,139.36777,356.30756
66,448.17313,136.39093,357.10046
67,411.57574,137.32452,368.55942
68,367.41888,141.27792,383.61993
69,324.1668,151.0922,393.85837
70,268.31964,163.3625,401.05133
71,224.94035,180.0509,405.4623
72,189.73824,200.43929,408.56616
73,156.88191,222.00273,409.07733
74,128.51166,251.66309,410.0899
75,100.693634,281.76108,411.26108
76,83.91496,318.56302,415.42184
77,66.58008,363.7113,420.3039
78,56.59839,395.72934,425.6836
79,48.638977,407.7626,427.4479
80,45.748634,418.8813,433.2379
81,48.39486,428.5127,437.03946
82,50.94686,428.0933,442.50317
83,58.559612,410.64114,444.89096
84,69.98811,379.6993,449.96097
85,86.61211,347.94626,454.3385
86,107.12024,300.6115,457.65387
87,131.06645,264.82593,461.81204
88,162.16739,227.65878,466.76053
89,195.9655,203.4789,470.60974
90,234.10057,182.79485,472.9646
91,277.29965,167.0791,471.09857
92,325.591,152.08871,467.59677
93,360.53424,142.43672,458.15033
94,370.29227,137.5048,447.03607
95,384.8102,134.87717,425.4454
96,403.15283,137.79878,391.3811
97,417.9224,143.45267,352.9638
98,428.71606,153.22153,298.0163
99,434.56567,165.93048,258.67136
100,438.70944,183.43459,226.03192
101,440.02252,204.4844,193.69272
102,441.70078,226.38321,170.31523
103,437.72067,254.99889,146.14804
104,437.38004,295.26733,125.96193
105,439.72754,339.5637,114.244736
106,441.22073,362.319,107.55154
107,444.7133,380.57178,104.96258
108,447.68033,393.13388,104.35489
109,452.31555,401.03128,108.82228
110,455.87384,394.89862,115.65247
111,460.06992,374.61447,127.49764
112,463.82306,339.28,145.49095
113,467.09518,290.7501,164.41574
114,469.8524,260.99933,188.84254
115,469.97778,230.33742,215.83817
116,470.22495,207.05797,251.9107
117,468.91794,189.3863,283.28745
118,467.3137,178.08133,324.34692
119,467.45148,169.65005,370.9194
120,467.2173,163.68231,395.30603
121,462.00116,166.59096,406.01035
122,440.2548,169.09563,416.3671
123,397.16553,177.96947,421.8607
124,347.3122,190.59863,425.57312
125,315.4714,207.77863,427.97128
126,255.03462,225.23386,430.02707
127,223.67279,249.13368,429.32825
128,192.81735,275.73322,427.68655
129,164.60094,309.03384,424.7161
130,137.8222,346.263,422.51108
131,118.2879,365.40842,422.31128
132,104.86987,368.62085,423.8526
133,95.31605,388.09085,427.47205
134,88.8574,409.23676,433.48544
135,90.50186,420.95856,441.20337
136,90.14643,424.28458,447.6185
137,94.192825,413.80704,453.50342
138,100.81586,386.75156,457.50204
139,114.86938,348.66602,460.27136
140,132.4967,288.97858,463.55676
141,153.34172,260.6415,466.96027
142,182.06259,225.08723,468.43552
143,212.84406,198.80069,469.1003
144,249.64757,174.42302,468.7338
145,291.06964,161.63123,466.802
146,328.49307,143.26125,464.62302
147,356.7324,135.57443,458.95126
148,365.6702,131.59958,449.45856
149,385.51,130.48183,430.88974
150,399.90012,131.91684,398.2651
151,413.65747,138.30074,359.7575
152,427.32675,147.49301,309.0828
153,433.81494,162.70206,261.08368
154,437.9027,179.4586,220.67813
155,443.70718,202.01654,187.29018
156,444.85876,228.13788,161.40762
157,441.98813,258.972,136.66628
158,441.8266,304.8119,114.079636
159,443.0506,344.22797,98.225555
160,443.83917,355.61813,87.936874
161,445.47418,375.26117,80.50997
162,449.36478,395.20987,76.296745
163,452.57004,411.3524,77.019844
164,455.2857,412.82083,81.14009
165,460.19595,397.5583,90.655785
166,464.7866,372.35983,103.038055
167,468.14258,332.3057,119.968925
168,471.6292,283.74832,141.03316
169,472.68842,245.74632,166.38152
170,472.4356,221.39255,197.42798
171,472.7155,195.0239,230.25145
172,473.15445,181.13762,267.17004
173,472.44867,167.99303,311.3067
174,472.87433,153.6089,367.10553
175,472.16718,149.07942,368.68457
176,461.34616,145.13727,379.66077
177,446.9479,146.65155,393.1431
178,412.76877,150.43114,404.97296
179,360.37326,159.34988,412.98727
180,335.38852,171.03651,420.81308
181,243.76096,188.40036,427.34216
