x_position,y_position,frame,radius
479.5,409.5,25,15.89024829864502
482.5,416.5,27,13.435029029846191
488.5,422.5,28,20.98809242248535
482.5,422.5,29,15.508062362670898
488.5,428.5,30,10.124228477478027
482.5,436.5,32,19.30025863647461
359.5,252.5,34,15.508062362670898
351.5,240.5,35,20.796634674072266
336.5,238.5,38,28.783676147460938
458.5,497.5,61,11.067972183227539
451.5,513.5,62,19.912307739257812
443.5,524.5,63,16.68832015991211
453.5,276.5,67,18.124568939208984
455.5,267.5,68,20.5548038482666
403.5,335.5,72,12.349088668823242
500.5,380.5,94,12.747549057006836
497.5,406.5,95,14.577380180358887
463.5,492.5,98,13.729530334472656
447.5,509.5,99,16.5075740814209
438.5,519.5,100,16.56804084777832
515.5,347.5,109,14.577380180358887
516.5,378.5,110,17.90251350402832
516.5,409.5,111,19.912307739257812
503.5,432.5,112,14.577380180358887
490.5,462.5,113,12.103718757629395
465.5,486.5,114,14.577380180358887
451.5,501.5,115,16.68832015991211
444.5,497.5,116,15.89024829864502
459.5,272.5,116,15.953056335449219
